# Plybond	D_int	Pared	Humedad	Resistencia
235.652173913043	50.1	7.5	7.80	1186
574.285714285714	152.5	9.65000000000001	7.50	1186
347.407407407407	76.5	9.75	10.30	1196
252.631578947368	76.3	10.125	8.20	1235
394.954954954955	152.4	9.84999999999999	8.00	1242
240	76.3	11.9	10.30	1258
236.103896103896	38.1	7.225	5.90	1263
237.6	70.4	11.85	12.20	1278
240	76.3	10.05	8.20	1301
240	150.5	14.51	10.80	1307
536.470588235294	202.8	11.85	8.00	1316
240	77.0	10.5	8.60	1347
240	77.5	10	8.70	1353
240	76.0	10.2	7.00	1354
240	77.4	10.05	7.80	1357
253.793103448276	76.1	10	8.30	1357
240	76.3	10.035	8.50	1358
252.631578947368	76.3	10	8.50	1362
240	77.3	12.085	11.60	1364
240	76.0	10.4	8.10	1369
240	77.0	11.9	8.20	1370
253.793103448276	75.9	10.55	6.60	1377
257.821782178218	76.6	9.77	8.90	1378
240	76.0	12.1	11.00	1379
240	77.1	11.7	10.10	1380
240	76.4	10	9.10	1401
240	120.3	10.45	7.70	1422
240	76.2	10	8.60	1423
240	76.2	10.4	5.80	1425
240	120.0	10.55	7.10	1444
240	76.3	11.85	8.90	1453
240	76.2	11.9	8.90	1460
252.631578947368	76.0	10.5	6.20	1460
240	76.4	9.9	6.00	1462
240	77.4	10.235	5.60	1510
404.271844660194	76.0	10	9.80	1575
256.51376146789	70.5	10.05	7.70	1612
240	70.1	10.45	7.00	1616
240	100.2	12.1	8.00	1640
240	75.9	15.15	9.20	1677
347.407407407407	75.8	9.95	7.90	1698
347.407407407407	76.1	10.1	8.80	1705
240	70.5	12.25	8.50	1728
240	76.3	14.95	9.80	1730
240	76.3	12.05	8.40	1773
240	77.1	11.65	7.40	1800
240	77.2	11.9	8.50	1827
240	77.1	12	5.60	1840
240	76.1	12.65	8.60	1872
240	76.3	12.5	7.10	1873
240	76.5	14.785	9.60	1875
237.6	70.1	12	6.00	1889
347.407407407407	76.2	9.95	8.90	1907
404.271844660194	76.2	9.75	7.50	1914
237.6	70.1	12.1	7.90	1927
347.407407407407	76.1	10.05	8.00	1943
240	76.1	11.75	7.80	1952
347.407407407407	76.0	9.9	7.90	1952
237.6	70.6	11.7	6.40	1964
240	76.4	14.7	9.20	1986
240	76.3	14.675	10.20	2014
240	76.1	14.95	10.20	2019
240	76.4	14.8	8.60	2040
347.407407407407	76.0	10.15	8.10	2042
240	76.6	14.335	10.20	2050
240	75.9	15.2	9.70	2303
240	76.0	16.55	8.00	2362
240	76.4	16.6	8.60	2377
240	76.3	16.05	8.10	2434
240	76.0	16.05	8.50	2440
240	76.0	16.7	8.60	2495
240	76.0	16.75	7.30	2521
240	76.3	15.1	8.90	2672
240	76.2	15.9	7.30	2695
240	76.3	15.85	7.80	2707
240	76.2	16.55	7.00	2766
240	76.1	15.95	7.70	2784
240	76.5	15.75	7.70	2792
240	76.3	15.95	7.60	2854
