152.5	188	2376	7.1	410.3715170279
152.7	188.3	2565	7.2	424.26067908
152.7	188.2	2258	6.9	380.3247110622
80.3	86.2	274	5.6	262.5
35.5	42.2	470	6.4	239.367816092
40.3	46.3	0	6.2	225.1677852349
280.4	294.6	306	8.1	272.4696356275
262.3	270.5	96	8	256.8014705882
280.2	296.5	344	8.1	279.2490118577
200.9	214.8	431	7.8	260.3351955307
200.8	211.8	252	7.9	262.5
200.4	207.8	102	8	258.8095238095
152.7	172.8	780	7.9	292.119089317
152.7	172.8	730	8	308.6400817996
152.7	175.8	972	8.3	377.5862068966
150.5	156.5	132	8.7	257.9229122056
152.7	174.8	1052	8.4	345.2380952381
152.5	176.3	1256	8.9	419.7854588796
152.7	176	1193	8.7	419.7854588796
150.4	156.4	103	7.6	264.979757085
152.7	172.2	971	8.4	291.7897480452
150.6	164.6	533	9	254.8302872063
125.8	135.5	350	7.3	256.8014705882
125.8	145.8	688	9	261.0944527736
110.4	122.6	758	8.8	578.6295005807
110.2	122.3	852	8.7	628.1068524971
110.2	122.7	898	7.8	595.4256670902
110.2	22.6	783	8.5	595.4256670902
110.2	122.5	865	8.2	572.8314238953
76.8	82.8	280	7.9	262.5
76.8	93.7	1029	7.1	250
76.8	85.5	347	7.3	317.1787709497
76.8	83	264	7	260.6936416185
77	82.5	210	7.4	258.8095238095
76.4	81.2	135	7.6	276.6666666667
77.8	82.8	196	7.4	264.9193548387
76.9	83	271	6.4	262.5
76.8	92.2	904	8.4	296.7171717172
76.8	82.9	262	7.1	262.5
76.8	83.2	239	7	260
150.5	158.5	167	8	256.9158878505
76.8	82.9	284	8	262.5
76.8	93.1	1102	8.3	298.6842105263
76.9	83.2	284	7.3	262.5
76.8	90.6	778	8.2	255.3468208092
76.8	93.3	1066	9.1	307.2619047619
76.8	93	1030	8.5	292.3415492958
76.5	84.5	404	7.6	279.95951417
76.2	90.3	585	7.9	250
76.8	90.4	712	8.2	250
76.8	90.8	754	7.9	255.3468208092
25.8	33.8	542	9.2	215.1285930408
25.8	28.8	211	8.1	225.8397932817
76.2	93.2	1055	7.9	302.6258205689
76.6	90.9	792	8.7	263.9359698682
76.8	82.7	260	7.4	262.5
54.5	58.5	148	8.2	250
54.2	58.5	197	7.5	250
25.3	29.4	265	8.5	225.8397932817
25.8	34.3	541	9	212.9533678756
25.8	30.3	295	8.7	229.6735905045
25.9	28.9	135	7.8	200
